x1,y1,x2,y2,x3,y3,x4,y4,
2686,1175,0,0,0,0,3144,1721,5
1916,1177,0,0,0,0,2452,1591,6
1142,1224,0,0,0,0,1502,1595,7
696,1066,0,0,0,0,1106,1550,8
2480,983,0,0,0,0,2790,1167,13
2068,963,0,0,0,0,2376,1154,14
1564,959,0,0,0,0,1826,1111,15
1264,948,0,0,0,0,1498,1212,16
2384,888,0,0,0,0,2590,970,21
2106,891,0,0,0,0,2266,953,22
1726,833,0,0,0,0,1886,970,23
1412,826,0,0,0,0,1602,948,24
2328,824,0,0,0,0,2514,957,29
2110,788,0,0,0,0,2250,886,30
1822,784,0,0,0,0,1960,880,31
1604,771,0,0,0,0,1748,888,32
2266,760,0,0,0,0,2394,861,35
2070,741,0,0,0,0,2218,822,36
